name,team,imageUrl,overallAvg,basesEmptyAvg,runner1Avg,runner2Avg,runner3Avg,runner12Avg,runner13Avg,runner23Avg,basesLoadedAvg
오지환,LG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/79109.jpg,0.253,0.229,0.272,0.391,0.200,0.158,0.417,0.143,0.444
박동원,LG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/79365.jpg,0.253,0.241,0.310,0.342,0.333,0.190,0.200,0.167,0.118
김휘집,NC,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/51344.jpg,0.249,0.254,0.244,0.280,0.154,0.182,0.231,0.364,0.273
김영웅,삼성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/52430.jpg,0.249,0.209,0.333,0.310,0.308,0.211,0.316,0.100,0.333
장성우,KT,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/78548.jpg,0.247,0.250,0.309,0.161,0.250,0.227,0.111,0.167,0.250
권희동,NC,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/63963.jpg,0.246,0.264,0.185,0.250,0.231,0.174,0.286,0.333,0.333
최원준,NC,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/66606.jpg,0.242,0.237,0.280,0.355,0.364,0.214,0.091,0.077,0.000
이주형,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/50167.jpg,0.240,0.243,0.209,0.250,0.500,0.211,0.231,0.000,0.333
위즈덤,KIA,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55645.jpg,0.236,0.259,0.224,0.111,0.429,0.175,0.100,0.125,0.474
김준태,LG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/62558.jpg,1.000,,,,,,,,
이주헌,LG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/52154.jpg,0.219,0.243,0.259,0.125,0.000,0.100,0.000,0.333,0.000
김성우,LG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/52105.jpg,0.200,0.000,0.000,,1.000,0.000,,,0.000
구본혁,LG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/69100.jpg,0.286,0.286,0.259,0.333,0.000,0.296,0.571,0.250,0.286
천성호,LG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/50054.jpg,0.237,0.211,0.289,0.200,0.500,0.083,0.000,,0.571
이영빈,LG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/51100.jpg,0.208,0.205,0.167,0.125,0.500,0.400,0.000,0.500,0.000
김주성,LG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/66162.jpg,0.200,,,,,,,,
손용준,LG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/54156.jpg,0.200,,,,,,,,
김정율,LG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/67504.jpg,0.182,0.200,0.333,0.000,,0.000,,,
문정빈,LG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/52121.jpg,0.167,0.333,0.091,0.000,1.000,0.000,,0.000,
김현종,LG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/54166.jpg,0.400,,,,,,,,
홍창기,LG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/66108.jpg,0.287,0.311,0.400,0.000,0.000,0.125,0.667,0.200,0.500
최원영,LG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/52103.jpg,0.282,0.339,0.222,0.286,,0.182,0.000,0.000,0.000
박관우,LG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/55164.jpg,0.264,0.120,0.545,0.000,,0.429,0.000,0.500,0.000
송찬의,LG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/68110.jpg,0.211,0.244,0.097,0.200,0.000,0.250,0.000,0.000,0.571
