name,team,imageUrl,overallAvg,basesEmptyAvg,runner1Avg,runner2Avg,runner3Avg,runner12Avg,runner13Avg,runner23Avg,basesLoadedAvg
강현구,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51269.jpg,0.000,,,,,,,,
천현재,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/52208.jpg,0.000,,,,,,,,
장규현,한화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/51762.jpg,1.000,,,,,,,,
최재훈,한화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/78288.jpg,0.286,0.240,0.333,0.381,0.571,0.294,0.400,0.000,0.375
이재원,한화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/76812.jpg,0.200,,,,,,,,
허인서,한화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/52764.jpg,0.172,0.200,0.000,0.333,1.000,0.000,,0.000,0.000
이승현,한화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/55712.jpg,1.000,,,,,,,,
하주석,한화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/62700.jpg,0.297,0.320,0.196,0.353,0.333,0.233,0.455,0.500,0.333
황영묵,한화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/54795.jpg,0.273,0.267,0.260,0.250,0.333,0.211,0.375,0.429,0.500
이도윤,한화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/65703.jpg,0.260,0.258,0.283,0.308,0.000,0.125,0.300,0.364,0.333
심우준,한화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/64006.jpg,0.231,0.243,0.170,0.125,0.500,0.333,0.286,0.000,0.375
안치홍,한화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/79608.jpg,0.172,0.150,0.156,0.200,0.250,0.200,0.333,0.333,0.250
권광민,한화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/52769.jpg,0.167,,,,,,,,
김인환,한화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66715.jpg,0.080,0.000,0.500,0.000,0.000,0.333,,,0.000
박정현,한화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/50709.jpg,0.000,,,,,,,,
리베라토,한화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55703.jpg,0.313,0.293,0.340,0.364,0.250,0.389,0.200,0.000,0.667
손아섭,한화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/77532.jpg,0.288,0.276,0.286,0.405,0.071,0.250,0.333,0.300,0.368
이진영,한화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/66657.jpg,0.274,0.272,0.322,0.381,0.000,0.095,0.400,0.250,0.286
플로리얼,한화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55734.jpg,0.271,0.266,0.371,0.133,0.167,0.333,0.143,0.200,0.333
김태연,한화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/66704.jpg,0.261,0.280,0.268,0.263,0.000,0.190,0.000,0.167,0.250
최인호,한화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/50707.jpg,0.259,0.167,0.444,0.273,0.333,0.400,0.500,0.400,0.000
이원석,한화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/68700.jpg,0.203,0.202,0.323,0.125,0.000,0.059,0.222,0.111,0.600
이상혁,한화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/52704.jpg,0.200,0.167,,0.000,1.000,0.000,0.000,,
임종찬,한화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/50704.jpg,0.167,0.211,0.000,0.000,,0.000,,1.000,0.000
유로결,한화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/69766.jpg,0.154,,,,,,,,
이민재,한화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/55710.jpg,0.000,,,,,,,,
김정호,NC,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/51903.jpg,0.444,,,,,,,,
김형준,NC,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/68912.jpg,0.232,0.214,0.200,0.333,0.250,0.290,0.364,0.143,0.182
박세혁,NC,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/62244.jpg,0.163,0.108,0.176,0.182,,0.267,0.000,0.000,0.500
안중열,NC,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/64022.jpg,0.143,0.143,0.100,0.000,0.000,0.333,,0.000,0.333
김한별,NC,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/50902.jpg,0.313,0.256,0.429,0.286,0.667,1.000,0.000,,0.500
데이비슨,NC,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/54944.jpg,0.293,0.278,0.433,0.172,0.200,0.300,0.176,0.625,0.133
최정원,NC,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/69992.jpg,0.275,0.303,0.304,0.000,0.333,0.200,0.000,0.000,0.400
서호철,NC,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/69995.jpg,0.266,0.245,0.372,0.167,0.750,0.138,0.333,0.333,0.200
오태양,NC,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/51996.jpg,0.250,,,,,,,,
오영수,NC,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/68904.jpg,0.232,0.238,0.172,0.190,0.000,0.000,0.500,0.750,0.500
한재환,NC,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/50903.jpg,0.185,0.091,0.167,0.500,,0.000,1.000,0.500,0.000
도태훈,NC,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/66965.jpg,0.182,0.171,0.182,0.333,0.000,0.286,0.250,0.000,0.000
홍종표,NC,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/50600.jpg,0.164,0.182,0.222,0.333,0.000,0.000,0.000,0.000,0.000
안인산,NC,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/50901.jpg,0.000,,,,,,,,
박건우,NC,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/79215.jpg,0.289,0.262,0.352,0.250,0.286,0.333,0.500,0.000,0.313
박영빈,NC,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/50906.jpg,0.250,,,,,,,,
이우성,NC,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/63260.jpg,0.250,0.272,0.241,0.148,0.500,0.208,0.250,0.000,0.250
천재환,NC,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/67905.jpg,0.238,0.226,0.273,0.211,0.333,0.222,0.375,0.250,0.143
박시원,NC,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/50996.jpg,0.204,0.182,0.222,0.333,0.000,0.000,,,0.333
고승완,NC,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/54908.jpg,0.200,,,,,,,,
송승환,NC,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69203.jpg,0.200,,,,,,,,
한석현,NC,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/64101.jpg,0.195,0.123,0.333,0.200,0.250,0.333,0.000,0.667,0.167
박한결,NC,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/53992.jpg,0.118,,,,,,,,
김범준,NC,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/69980.jpg,0.000,,,,,,,,
박건우,롯데,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/55509.jpg,0.667,,,,,,,,
박재엽,롯데,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/55563.jpg,0.286,0.375,0.000,0.000,0.000,0.500,,,0.000
유강남,롯데,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/61102.jpg,0.274,0.322,0.266,0.000,0.444,0.263,0.000,0.333,0.200
정보근,롯데,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/68518.jpg,0.186,0.121,0.182,0.250,0.000,0.286,0.667,0.333,0.333
손성빈,롯데,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/51528.jpg,0.145,0.188,0.071,0.333,0.000,0.000,,,0.000
강승구,롯데,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/54506.jpg,0.000,,,,,,,,
박찬형,롯데,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/55530.jpg,0.341,0.351,0.273,0.400,0.000,0.400,0.000,0.333,1.000
전민재,롯데,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/68205.jpg,0.287,0.317,0.264,0.314,0.167,0.111,0.000,0.500,0.455
한태양,롯데,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/52568.jpg,0.274,0.266,0.300,0.182,0.200,0.400,0.250,0.400,0.333
노진혁,롯데,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/62931.jpg,0.270,0.265,0.385,0.000,0.000,0.400,0.000,0.000,0.333
손호영,롯데,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/50150.jpg,0.250,0.224,0.245,0.240,0.333,0.292,0.500,0.333,0.444
김민성,롯데,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/77564.jpg,0.243,0.269,0.182,0.071,0.000,0.214,0.250,0.167,0.467
이호준,롯데,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/54598.jpg,0.242,0.203,0.200,0.231,0.250,0.412,0.333,0.000,0.250
나승엽,롯데,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/51551.jpg,0.229,0.203,0.233,0.222,0.778,0.194,0.200,0.200,0.333
정훈,롯데,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/60523.jpg,0.216,0.278,0.111,0.278,0.000,0.083,0.000,0.333,0.000
박승욱,롯데,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/62802.jpg,0.190,0.214,0.083,0.250,0.000,0.125,0.333,0.000,0.200
신윤후,롯데,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/69508.jpg,0.167,0.200,0.333,0.000,,0.000,,,0.000
최항,롯데,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/62884.jpg,0.167,,,,,,,,
이태경,롯데,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/55511.jpg,0.000,,,,,,,,
윤동희,롯데,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/52591.jpg,0.282,0.274,0.288,0.179,0.545,0.320,0.182,0.500,0.231
장두성,롯데,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/68507.jpg,0.262,0.259,0.261,0.238,0.400,0.188,0.333,0.364,0.250
황성빈,롯데,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/50500.jpg,0.256,0.286,0.211,0.222,0.286,0.364,0.000,0.333,0.100
김동혁,롯데,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/52504.jpg,0.225,0.207,0.286,0.167,,0.000,1.000,1.000,0.000
조세진,롯데,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/52516.jpg,0.143,0.500,0.000,0.000,,0.000,0.000,,0.000
한승현,롯데,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/55506.jpg,0.059,,,,,,,,
이지영,SSG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/79456.jpg,0.239,0.250,0.314,0.150,0.250,0.185,0.000,0.500,0.000
조형우,SSG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/51865.jpg,0.238,0.194,0.346,0.217,0.286,0.179,0.500,0.333,0.250
이율예,SSG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/55832.jpg,0.231,0.000,1.000,,,0.333,,,0.000
신범수,SSG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/66662.jpg,0.182,0.174,0.333,0.000,,0.000,0.000,,1.000
김태윤,SSG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/52803.jpg,0.500,,,,,,,,
현원회,SSG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/50840.jpg,0.305,0.290,0.455,0.500,0.000,0.000,0.667,,0.000
석정우,SSG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/52804.jpg,0.265,,,,,,,,
안상현,SSG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/66864.jpg,0.264,0.260,0.333,0.300,0.143,0.100,0.125,0.000,0.250
정준재,SSG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/54812.jpg,0.245,0.238,0.224,0.156,0.750,0.296,0.375,0.286,0.250
최정,SSG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/75847.jpg,0.244,0.212,0.320,0.086,0.333,0.379,0.333,0.250,0.500
김성현,SSG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/76802.jpg,0.217,0.210,0.227,0.167,0.250,0.286,0.250,0.000,0.500
홍대인,SSG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/55897.jpg,0.200,,,,,,,,
최준우,SSG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/68868.jpg,0.191,0.138,0.233,0.273,0.000,0.250,0.167,0.250,0.429
김찬형,SSG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66917.jpg,0.178,0.154,0.143,0.000,,0.333,0.500,0.333,0.000
박지환,SSG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/54805.jpg,0.150,0.132,0.200,0.500,0.000,0.400,0.000,0.000,0.000
김수윤,SSG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/67900.jpg,0.091,,,,,,,,
정현승,SSG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/54815.jpg,0.500,,,,,,,,
에레디아,SSG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/53827.jpg,0.339,0.335,0.316,0.344,0.333,0.333,0.667,0.000,0.364
류효승,SSG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/50868.jpg,0.287,0.234,0.400,0.500,0.000,0.222,0.500,,0.000
맥브룸,SSG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55844.jpg,0.203,0.167,0.200,0.300,0.250,0.500,0.000,0.000,0.000
오태곤,SSG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/60558.jpg,0.201,0.156,0.292,0.188,0.000,0.286,0.000,0.400,0.167
이승민,SSG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/54806.jpg,0.200,,,,,,,,
김성욱,SSG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/62934.jpg,0.195,0.222,0.130,0.100,0.500,0.154,0.250,0.000,0.333
채현우,SSG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/69804.jpg,0.188,0.167,0.182,0.000,,0.400,0.000,,0.500
최상민,SSG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68805.jpg,0.143,0.000,1.000,0.000,0.000,0.000,,,0.000
하재훈,SSG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/69813.jpg,0.143,0.059,0.400,0.000,0.000,0.333,0.250,0.000,0.000
이정범,SSG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/67807.jpg,0.000,,,,,,,,
임근우,SSG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/52807.jpg,0.000,,,,,,,,
김동헌,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/53344.jpg,0.268,0.217,0.417,0.143,0.667,0.200,0.429,,0.000
김건희,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/53312.jpg,0.242,0.260,0.204,0.280,0.000,0.200,0.176,0.000,0.500
김재현,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/62332.jpg,0.208,0.222,0.316,0.067,0.250,0.100,0.667,0.000,0.000
이재상,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/54305.jpg,0.500,,,,,,,,
이주형,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/51302.jpg,0.313,,,,,,,,
김병휘,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/50304.jpg,0.250,,,,,,,,
오선진,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/78756.jpg,0.238,0.178,0.273,0.313,0.600,0.286,0.222,0.000,0.333
어준서,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/55392.jpg,0.238,0.232,0.274,0.259,0.200,0.154,0.200,0.375,0.200
김태진,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/64984.jpg,0.233,0.268,0.216,0.100,0.200,0.176,0.111,0.200,0.250
전태현,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/55397.jpg,0.231,0.214,0.225,0.278,0.000,0.308,0.000,0.667,0.000
고영우,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/54344.jpg,0.217,0.182,0.000,0.333,1.000,0.000,0.000,,0.000
염승원,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/55339.jpg,0.211,,,,,,,,
강진성,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62925.jpg,0.182,,,,,,,,
송지후,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/54394.jpg,0.175,0.216,0.118,0.000,0.000,0.200,0.250,0.500,0.000
이원석,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/75566.jpg,0.143,,,,,,,,
여동욱,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/55393.jpg,0.132,0.250,0.067,0.000,,0.000,0.000,0.000,0.000
권혁빈,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/55371.jpg,0.100,,,,,,,,
김웅빈,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/65898.jpg,0.083,0.077,1.000,,0.000,0.000,0.000,,0.000
양현종,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/55370.jpg,0.083,0.000,0.250,0.000,0.000,,,,0.000
서유신,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/53309.jpg,0.000,,,,,,,,
이승원,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/53302.jpg,0.000,,,,,,,,
변상권,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/68305.jpg,0.263,,,,,,,,
카디네스,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54444.jpg,0.253,0.239,0.257,0.238,0.000,0.318,0.429,0.375,0.273
주성원,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/69332.jpg,0.250,0.264,0.250,0.125,0.400,0.000,0.333,0.333,0.000
임지열,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/64340.jpg,0.244,0.202,0.286,0.346,0.200,0.300,0.167,0.556,0.125
스톤,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55326.jpg,0.241,0.208,0.273,0.143,0.000,0.357,0.000,0.000,0.667
임병욱,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/64346.jpg,0.233,0.236,0.167,0.500,0.000,0.091,0.500,0.333,0.667
박주홍,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/50357.jpg,0.226,0.214,0.273,0.143,0.333,0.231,0.273,,0.000
김동엽,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/66838.jpg,0.222,,,,,,,,
푸이그,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52366.jpg,0.212,0.178,0.259,0.118,,0.500,0.000,0.000,0.333
이형종,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/78135.jpg,0.200,0.220,0.100,0.000,1.000,0.000,0.000,0.000,0.000
원성준,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/54307.jpg,0.174,0.100,0.286,0.250,,0.333,,1.000,0.000
박수종,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/52305.jpg,0.143,0.087,0.429,0.167,0.000,0.000,0.000,0.000,0.000
장재영,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/51359.jpg,0.143,,,,,,,,
